parameter_id,frequency_band,variable,TO,FROM,NET,average_TCI
P2_H20_S1,medium_term,r_gold,21.527418824835266,26.30581752178067,-4.778398696945409,27.619602115452924
P2_H20_S1,medium_term,r_wti,22.35704638450281,31.418913171651347,-9.061866787148539,27.619602115452924
P2_H20_S1,short_term,r_ai,35.85682423446641,33.06449529546768,2.792328938998729,26.16987441737782
P2_H20_S1,short_term,r_coal,31.61010849562471,34.13381483375966,-2.5237063381349505,26.16987441737782
P2_H20_S1,short_term,r_electricity,30.049709753267773,27.920876149137243,2.128833604130532,26.16987441737782
P2_H20_S1,short_term,r_gas,12.473988172335751,15.374901447220656,-2.9009132748849056,26.16987441737782
P2_H20_S1,short_term,r_gold,22.12255864808781,23.54080078031662,-1.4182421322288081,26.16987441737782
P2_H20_S1,short_term,r_wti,24.906057200484454,22.984357998365052,1.9216992021194035,26.16987441737782
P2_H20_S2,long_term,r_ai,41.59652094745532,29.655956390820194,11.940564556635122,27.88899832669935
P2_H20_S2,long_term,r_coal,38.9757778380346,30.58441619078892,8.391361647245677,27.88899832669935
P2_H20_S2,long_term,r_electricity,32.321475299141504,28.968583426057585,3.3528918730839137,27.88899832669935
P2_H20_S2,long_term,r_gas,11.396629716626547,18.029550828774365,-6.6329211121478195,27.88899832669935
P2_H20_S2,long_term,r_gold,21.520542738274944,28.25828151208775,-6.737738773812805,27.88899832669935
P2_H20_S2,long_term,r_wti,21.52304342066321,31.837201611667304,-10.314158191004092,27.88899832669935
P2_H20_S2,medium_term,r_ai,40.56772655514602,30.48045108176004,10.08727547338598,27.84739924055887
P2_H20_S2,medium_term,r_coal,40.00212142708601,30.218967920685262,9.783153506400753,27.84739924055887
P2_H20_S2,medium_term,r_electricity,31.705936774914008,29.001624451131125,2.704312323782885,27.84739924055887
P2_H20_S2,medium_term,r_gas,11.485544593020093,17.93218346841438,-6.446638875394287,27.84739924055887
P2_H20_S2,medium_term,r_gold,21.315101515418416,27.626843492419987,-6.31174197700157,27.84739924055887
P2_H20_S2,medium_term,r_wti,22.007964577768668,31.82432502894242,-9.816360451173761,27.84739924055887
P2_H20_S2,short_term,r_ai,36.18071457082467,32.86984854460419,3.3108660262204808,26.552664937633327
P2_H20_S2,short_term,r_coal,34.18402108677126,33.02017345793059,1.1638476288406698,26.552664937633327
P2_H20_S2,short_term,r_electricity,29.97407151996291,28.103464685488518,1.8706068344743958,26.552664937633327
P2_H20_S2,short_term,r_gas,12.519243750255095,16.18393083862544,-3.664687088370345,26.552664937633327
P2_H20_S2,short_term,r_gold,22.065282281661773,24.037298965787535,-1.9720166841257636,26.552664937633327
P2_H20_S2,short_term,r_wti,24.392656416324247,25.101273133363684,-0.7086167170394373,26.552664937633327
P2_H20_S3,long_term,r_ai,41.524052415355946,29.729469286737544,11.794583128618404,27.887995563857718
P2_H20_S3,long_term,r_coal,39.095271198655624,30.55001604685305,8.545255151802571,27.887995563857718
P2_H20_S3,long_term,r_electricity,32.25751013631791,28.975760211147907,3.281749925170002,27.887995563857718
P2_H20_S3,long_term,r_gas,11.387163039803383,18.01646568878328,-6.6293026489798965,27.887995563857718
P2_H20_S3,long_term,r_gold,21.468319271858395,28.213489458001312,-6.745170186142918,27.887995563857718
P2_H20_S3,long_term,r_wti,21.595657321155034,31.842772691623196,-10.247115370468164,27.887995563857718
P2_H20_S3,medium_term,r_ai,39.49131931031264,31.05296824721769,8.438351063094947,27.753941479855403
P2_H20_S3,medium_term,r_coal,40.58395307578977,29.912136956857008,10.671816118932771,27.753941479855403
P2_H20_S3,medium_term,r_electricity,31.11902450984647,28.975002403013608,2.1440221068328578,27.753941479855403
P2_H20_S3,medium_term,r_gas,11.709686034811856,17.923152507109894,-6.213466472298037,27.753941479855403
P2_H20_S3,medium_term,r_gold,21.408234056290176,26.962963125724787,-5.554729069434612,27.753941479855403
P2_H20_S3,medium_term,r_wti,22.211431892081514,31.69742563920944,-9.485993747127925,27.753941479855403
P2_H20_S3,short_term,r_ai,35.865447277527856,32.977915962903374,2.8875313146244803,26.36779412669703
