+date,total_tci,short_term_TCI,medium_term_TCI,long_term_TCI
+2020-05-22,34.2514538405379,33.885083704170185,33.36293424556669,33.00937395206208
+2020-05-27,34.148732876088395,33.799819564989946,33.23070368996895,32.87225921670597
+2020-05-28,34.15399088757472,33.854705512903244,33.12739365549993,32.65401897245272
+2020-05-29,33.91939663011733,33.656001676139184,32.83773122554475,32.30951060730712
+2020-06-01,33.57919496887041,33.42196945810243,32.35387376814413,31.773138597174217
+2020-06-02,33.52589098660614,33.448807124864835,32.2224270588076,31.623504312525014
+2020-06-03,33.94883691907295,33.826983093581326,32.9305336543322,32.245053005583586
+2020-06-04,33.55511623879878,33.68927593574988,32.25386770897644,31.47953495926529
+2020-06-05,34.395112904447814,34.7762476466763,32.7359605423232,31.86635434826553
+2020-06-08,33.56612246411411,34.23516274591533,31.94728123398344,30.60068676505097
+2020-06-09,33.096762966003055,33.60479428274659,31.5810424980948,30.389438366480608
+2020-06-10,32.68517905965032,33.276956731780025,31.117746452840876,29.80238999062052
+2020-06-11,33.23622875420546,33.67067530176702,32.09131970751521,30.81591528498301
+2020-06-12,32.89481229125619,33.224421857140605,31.94121078584414,30.528758599483623
+2020-06-15,32.75717938063159,33.11724495840038,31.748447363041603,30.32179778103116
+2020-06-16,32.08930982858616,32.597536648367736,30.872434190771063,29.408830290760665
+2020-06-17,31.733308636275147,32.13853856738378,30.61748458641716,29.239354657511623
+2020-06-18,31.52970744655014,31.9409126282167,30.4191502163347,29.0037628892428
+2020-06-19,31.18773794292405,31.60361474048617,30.09157702290511,28.65741360287417
+2020-06-22,31.13455060575061,31.48708969140708,30.03941579324441,28.689692150042656
+2020-06-23,31.097789112847245,31.4718963640655,29.954549193809143,28.68749494062548
+2020-06-24,31.083446928187023,31.400392339440877,30.010981306251523,28.818571156787105
+2020-06-25,30.85226833114269,31.13709785770261,29.893764627576424,28.652719447503287
+2020-06-26,31.162493435012163,31.468140500670483,30.21547413963848,29.03313017847369
+2020-06-29,32.2427235766146,32.552667872510746,31.069508162142245,29.877244655376085
+2020-06-30,31.92037788033824,32.08951074766685,31.058067591650968,30.001096359103556
+2020-07-01,31.30780633965517,31.428562757822583,30.55540612155843,29.39644318820385
+2020-07-02,31.16049561556825,31.318006494130085,30.34458037212396,29.12589287692054
+2020-07-07,31.073328792208173,31.169565504093427,30.312726597436125,29.11037680495849
+2020-07-08,31.17647328127336,31.24265588396869,30.420605787181337,29.208064893385178
+2020-07-09,31.01693834416958,31.156758884047697,30.21208856748043,29.07312297497971
+2020-07-10,30.7868041552585,30.906532702669136,29.998814674844564,28.922317010374
+2020-07-13,30.63938929794873,30.78170083977728,29.73783157580358,28.5341741447189
+2020-07-14,30.898420136414035,31.075841899686942,29.89902252458913,28.66510911948705
+2020-07-15,30.921824239763733,31.02085851702811,30.091038407560816,29.00067566733061
+2020-07-16,30.544998550866737,30.61930422753724,29.79082586870995,28.66459905469929
+2020-07-17,30.785222138915557,30.931525090564577,29.87755475523845,28.642522362293118
+2020-07-20,30.140580123698676,30.23665380445582,29.29950032673871,28.355749073373044
